2022051  02 05 11 17 21 33 - 01 | 跨度: 31 | 和值: 89  | AC: 7  | 区间: (3, 2, 1) | 奇数: (0, 1, 1, 1, 1, 1) : 5 | 尾号: (2, 5, 1, 7, 1, 3) | 012路: (2, 2, 2, 2, 0, 0) | 步长: (0, 3, 6, 6, 4, 12) : 31 | 连号: 0 | 连号组数: 0
2022050  03 05 08 14 27 33 - 08 | 跨度: 30 | 和值: 90  | AC: 8  | 区间: (3, 1, 2) | 奇数: (1, 1, 0, 0, 1, 1) : 4 | 尾号: (3, 5, 8, 4, 7, 3) | 012路: (0, 2, 2, 2, 0, 0) | 步长: (0, 2, 3, 6, 13, 6) : 30 | 连号: 0 | 连号组数: 0
2022049  02 04 07 18 25 26 - 10 | 跨度: 24 | 和值: 82  | AC: 10 | 区间: (3, 1, 2) | 奇数: (0, 0, 1, 0, 1, 0) : 2 | 尾号: (2, 4, 7, 8, 5, 6) | 012路: (2, 1, 1, 0, 1, 2) | 步长: (0, 2, 3, 11, 7, 1) : 24 | 连号: 1 | 连号组数: 1
2022048  05 07 17 20 26 31 - 14 | 跨度: 26 | 和值: 106 | AC: 10 | 区间: (2, 2, 2) | 奇数: (1, 1, 1, 0, 0, 1) : 4 | 尾号: (5, 7, 7, 0, 6, 1) | 012路: (2, 1, 2, 2, 2, 1) | 步长: (0, 2, 10, 3, 6, 5) : 26 | 连号: 0 | 连号组数: 0
2022047  03 07 08 14 27 30 - 09 | 跨度: 27 | 和值: 89  | AC: 10 | 区间: (3, 1, 2) | 奇数: (1, 1, 0, 0, 1, 0) : 3 | 尾号: (3, 7, 8, 4, 7, 0) | 012路: (0, 1, 2, 2, 0, 0) | 步长: (0, 4, 1, 6, 13, 3) : 27 | 连号: 1 | 连号组数: 1
2022046  02 11 24 25 27 30 - 14 | 跨度: 28 | 和值: 119 | AC: 9  | 区间: (2, 0, 4) | 奇数: (0, 1, 0, 1, 1, 0) : 3 | 尾号: (2, 1, 4, 5, 7, 0) | 012路: (2, 2, 0, 1, 0, 0) | 步长: (0, 9, 13, 1, 2, 3) : 28 | 连号: 1 | 连号组数: 1
2022045  03 12 17 18 19 28 - 04 | 跨度: 25 | 和值: 97  | AC: 7  | 区间: (1, 4, 1) | 奇数: (1, 0, 1, 0, 1, 0) : 3 | 尾号: (3, 2, 7, 8, 9, 8) | 012路: (0, 0, 2, 0, 1, 1) | 步长: (0, 9, 5, 1, 1, 9)  : 25 | 连号: 2 | 连号组数: 1
2022044  01 07 08 21 23 29 - 06 | 跨度: 28 | 和值: 89  | AC: 8  | 区间: (3, 1, 2) | 奇数: (1, 1, 0, 1, 1, 1) : 5 | 尾号: (1, 7, 8, 1, 3, 9) | 012路: (1, 1, 2, 0, 2, 2) | 步长: (0, 6, 1, 13, 2, 6) : 28 | 连号: 1 | 连号组数: 1
2022043  02 17 20 23 25 27 - 08 | 跨度: 25 | 和值: 114 | AC: 8  | 区间: (1, 2, 3) | 奇数: (0, 1, 0, 1, 1, 1) : 4 | 尾号: (2, 7, 0, 3, 5, 7) | 012路: (2, 2, 2, 2, 1, 0) | 步长: (0, 15, 3, 3, 2, 2) : 25 | 连号: 0 | 连号组数: 0
2022042  05 10 11 21 22 30 - 13 | 跨度: 25 | 和值: 99  | AC: 8  | 区间: (3, 2, 1) | 奇数: (1, 0, 1, 1, 0, 0) : 3 | 尾号: (5, 0, 1, 1, 2, 0) | 012路: (2, 1, 2, 0, 1, 0) | 步长: (0, 5, 1, 10, 1, 8) : 25 | 连号: 2 | 连号组数: 2
2022041  05 07 21 22 24 29 - 14 | 跨度: 24 | 和值: 108 | AC: 8  | 区间: (2, 2, 2) | 奇数: (1, 1, 1, 0, 0, 1) : 4 | 尾号: (5, 7, 1, 2, 4, 9) | 012路: (2, 1, 0, 1, 0, 2) | 步长: (0, 2, 14, 1, 2, 5) : 24 | 连号: 1 | 连号组数: 1
2022040  03 12 14 16 31 33 - 12 | 跨度: 30 | 和值: 109 | AC: 6  | 区间: (1, 3, 2) | 奇数: (1, 0, 0, 0, 1, 1) : 3 | 尾号: (3, 2, 4, 6, 1, 3) | 012路: (0, 0, 2, 1, 1, 0) | 步长: (0, 9, 2, 2, 15, 2) : 30 | 连号: 0 | 连号组数: 0
2022039  02 06 07 10 15 20 - 05 | 跨度: 18 | 和值: 60  | AC: 5  | 区间: (4, 2, 0) | 奇数: (0, 0, 1, 0, 1, 0) : 2 | 尾号: (2, 6, 7, 0, 5, 0) | 012路: (2, 0, 1, 1, 0, 2) | 步长: (0, 4, 1, 3, 5, 5)  : 18 | 连号: 1 | 连号组数: 1
2022038  09 12 13 16 24 32 - 04 | 跨度: 23 | 和值: 106 | AC: 7  | 区间: (1, 3, 2) | 奇数: (1, 0, 1, 0, 0, 0) : 2 | 尾号: (9, 2, 3, 6, 4, 2) | 012路: (0, 0, 1, 1, 0, 2) | 步长: (0, 3, 1, 3, 8, 8)  : 23 | 连号: 1 | 连号组数: 1
2022037  01 10 13 20 22 32 - 14 | 跨度: 31 | 和值: 98  | AC: 5  | 区间: (2, 3, 1) | 奇数: (1, 0, 1, 0, 0, 0) : 2 | 尾号: (1, 0, 3, 0, 2, 2) | 012路: (1, 1, 1, 2, 1, 2) | 步长: (0, 9, 3, 7, 2, 10) : 31 | 连号: 0 | 连号组数: 0
